FTU,FTUID
alveolus of lung,UBERON:0002299
bronchus submucosal gland,UBERON:8410043
chorionic terminal villus,UBERON:8600030
cortical collecting duct,UBERON:0004203
crypt of Lieberkuhn,UBERON:0001983
dermal papilla,UBERON:0000412
descending limb of loop of Henle,UBERON:0001289
epidermal ridge of digit,UBERON:0013487
gingival attachment,UBERON:8000014
hair follicle,UBERON:0002073
inner medullary collecting duct,UBERON:0004205
intercalated duct,UBERON:0014725
intestinal villus,UBERON:0001213
islet of Langerhans,UBERON:0000006
liver lobule,UBERON:0004647
loop of Henle ascending limb thin segment,UBERON:0004193
nephron,UBERON:0001285
outer medullary collecting duct,UBERON:0004204
pancreatic acinus,UBERON:0001263
parotid gland ducto-acinar unit,UBERON:8000011
prostate glandular acinus,UBERON:0004179
red pulp of spleen,UBERON:0001250
renal corpuscle,UBERON:0001229
sublingual gland ducto-acinar unit,UBERON:8000012
submandibular gland ducto-acinar unit,UBERON:8000013
thick ascending limb of loop of Henle,UBERON:0001291
thymus lobule,UBERON:0002125
white pulp of spleen,UBERON:0001959
