organ,source,target,source_type,target_type
blood_vasculature,UBERON:0000948,UBERON:0002079,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002084,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002078,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002080,AS,AS
blood_vasculature,UBERON:0002079,CL:0010008,AS,CT
blood_vasculature,UBERON:0002079,FMA:49913,AS,AS
heart,UBERON:0002079,FMA:49913$$3961,AS,AS
blood_vasculature,UBERON:0002079,FMA:49916,AS,AS
heart,UBERON:0002079,FMA:49916$$3965,AS,AS
blood_vasculature,UBERON:0002079,UBERON:0002016,AS,AS
lung,UBERON:0002079,UBERON:0002016$$5519,AS,AS
blood_vasculature,UBERON:0002079,FMA:49911,AS,AS
heart,UBERON:0002079,FMA:49911$$3969,AS,AS
blood_vasculature,UBERON:0002079,FMA:49914,AS,AS
heart,UBERON:0002079,FMA:49914$$3973,AS,AS
blood_vasculature,FMA:49913,CL:0000071,AS,CT
blood_vasculature,FMA:49913,CL:0002543,AS,CT
heart,FMA:49913$$3961,CL:0000071$$3962,AS,CT
blood_vasculature,FMA:49916,CL:0000071$$1,AS,CT
blood_vasculature,FMA:49916,CL:0002543$$2,AS,CT
heart,FMA:49916$$3965,CL:0000071$$3966,AS,CT
blood_vasculature,UBERON:0002016,CL:0000071$$3,AS,CT
blood_vasculature,UBERON:0002016,CL:0002543$$4,AS,CT
blood_vasculature,UBERON:0002016,UBERON:0014904,AS,AS
lung,UBERON:0002016,UBERON:0014904$$5518,AS,AS
blood_vasculature,UBERON:0002016$$5519,UBERON:0014904,AS,AS
lung,UBERON:0002016$$5519,UBERON:0014904$$5518,AS,AS
blood_vasculature,UBERON:0014904,CL:0000071$$5,AS,CT
blood_vasculature,UBERON:0014904,CL:0002543$$6,AS,CT
blood_vasculature,UBERON:0014904,UBERON:8600052,AS,AS
blood_vasculature,UBERON:0014904$$5518,UBERON:8600052,AS,AS
blood_vasculature,UBERON:8600052,CL:0000071$$7,AS,CT
blood_vasculature,UBERON:8600052,CL:0002543$$8,AS,CT
blood_vasculature,UBERON:8600052,ASCTB-TEMP:pulmonary-venule,AS,AS
blood_vasculature,ASCTB-TEMP:pulmonary-venule,CL:0000071$$9,AS,CT
blood_vasculature,ASCTB-TEMP:pulmonary-venule,CL:1000414,AS,CT
blood_vasculature,ASCTB-TEMP:pulmonary-venule,ASCTB-TEMP:bronchial-capillary-2,AS,AS
blood_vasculature,ASCTB-TEMP:pulmonary-venule,UBERON:8600061,AS,AS
blood_vasculature,ASCTB-TEMP:bronchial-capillary-2,CL:0000071$$10,AS,CT
blood_vasculature,ASCTB-TEMP:bronchial-capillary-2,CL:0002144,AS,CT
blood_vasculature,UBERON:8600061,CL:0000071$$11,AS,CT
blood_vasculature,UBERON:8600061,CL:1000414$$12,AS,CT
blood_vasculature,UBERON:8600061,ASCTB-TEMP:post-alveolar-capillary,AS,AS
